,site,group,sample,col_datetime_EST,water_depth_m,salinity_ppt,doc_mg_l,tdn_mg_l,doc_tdn
45,GCW,ISCO,GCWSWT43,7/17/24 4:00,1.02,8.17,6.519,0.5025,12.97313433
46,GCW,ISCO,GCWSWT44,7/17/24 5:00,0.962,8.26,6.953,0.5337,13.02791831
47,GCW,ISCO,GCWSWT45,7/17/24 6:00,0.894,8.31,7.332,0.5429,13.50524959
48,GCW,ISCO,GCWSWT46,7/17/24 7:00,0.84,8.33,7.629,0.5875,12.98553191
49,GCW,ISCO,GCWSWT47,7/17/24 8:00,0.829,8.35,8.146,0.6996,11.64379646
50,GCW,ISCO,GCWSWT48,7/17/24 9:00,0.848,8.35,8.228,0.6939,11.85761637
51,SWH,ISCO,SWHSWT1,8/19/24 10:00,0.899,2.66,6.129,0.4389,13.9644566
52,SWH,ISCO,SWHSWT1P,8/19/24 10:00,0.899,2.66,6.216,0.5006,12.41709948
53,SWH,ISCO,SWHSWT2P,8/19/24 11:00,1.028,3.1,6.073,0.5218,11.63855883
54,SWH,ISCO,SWHSWT2,8/19/24 11:00,1.028,3.1,6.252,0.5033,12.4220147
55,SWH,ISCO,SWHSWT3,8/19/24 12:00,1.098,3.29,6.599,0.4819,13.69371239
56,SWH,ISCO,SWHSWT4,8/19/24 13:00,1.074,3.5,6.249,0.4895,12.76608784
57,SWH,ISCO,SWHSWT5,8/19/24 14:00,0.962,2.91,6.354,0.463,13.72354212
58,SWH,ISCO,SWHSWT6,8/19/24 15:00,0.816,2.6,6.28,0.4387,14.31502165
59,SWH,ISCO,SWHSWT7,8/19/24 16:00,0.652,2.33,6.751,0.4468,15.10966876
60,SWH,ISCO,SWHSWT8,8/19/24 17:00,0.483,1.62,6.853,0.4835,14.1737332
61,SWH,ISCO,SWHSWT9,8/19/24 18:00,0.358,1.25,7.262,0.5071,14.32064682
62,SWH,ISCO,SWHSWT10,8/19/24 19:00,0.232,1.09,7.79,0.547,14.24131627
63,SWH,ISCO,SWHSWT11,8/19/24 20:00,0.354,1.21,6.593,0.4189,15.73883982
64,SWH,ISCO,SWHSWT12,8/19/24 21:00,0.681,1.82,6.437,0.4446,14.47818264
65,SWH,ISCO,SWHSWT13,8/19/24 22:00,0.868,2.18,6.415,0.4126,15.547746
66,SWH,ISCO,SWHSWT14,8/19/24 23:00,1.015,2.51,6.635,0.4919,13.48851393
67,SWH,ISCO,SWHSWT15,8/20/24,1.113,2.71,6.319,0.4636,13.63028473
68,SWH,ISCO,SWHSWT16,8/20/24 1:00,1.115,2.52,6.718,0.4703,14.28449926
69,SWH,ISCO,SWHSWT17,8/20/24 2:00,0.993,2.47,6.37,0.4156,15.32723773
70,SWH,ISCO,SWHSWT18,8/20/24 3:00,0.841,2.19,6.238,0.4372,14.26806953
71,SWH,ISCO,SWHSWT19,8/20/24 4:00,0.69,1.97,6.457,0.4828,13.37406794
72,SWH,ISCO,SWHSWT20,8/20/24 5:00,0.53,1.49,7.22,0.5236,13.78915202
73,SWH,ISCO,SWHSWT21,8/20/24 6:00,0.404,1.5,7.532,0.5093,14.78892598
74,SWH,ISCO,SWHSWT22,8/20/24 7:00,0.297,1.5,8.006,0.5448,14.69530103
75,SWH,ISCO,SWHSWT23,8/20/24 8:00,0.31,1.18,6.243,0.4321,14.44804443
76,SWH,ISCO,SWHSWT24,8/20/24 9:00,0.557,1.26,7.194,0.486,14.80246914
77,SWH,ISCO,SWHSWT25,8/20/24 10:00,0.762,1.89,6.913,0.4473,15.45495193
78,SWH,ISCO,SWHSWT26,8/20/24 11:00,0.922,2.16,6.558,0.4366,15.02061383
79,SWH,ISCO,SWHSWT27,8/20/24 12:00,1.051,2.59,6.244,0.437,14.28832952
80,SWH,ISCO,SWHSWT28,8/20/24 13:00,0.959,2.72,6.234,0.4619,13.4964278
81,SWH,ISCO,SWHSWT29,8/20/24 14:00,0.887,2.76,6.504,0.4887,13.30877839
82,SWH,ISCO,SWHSWT30,8/20/24 15:00,0.958,2.33,6.585,0.4583,14.3683177
83,SWH,ISCO,SWHSWT31,8/20/24 16:00,0.803,2.02,6.463,0.4413,14.64536596
84,SWH,ISCO,SWHSWT32,8/20/24 17:00,0.626,1.74,6.819,0.4274,15.95460927
85,SWH,ISCO,SWHSWT33,8/20/24 18:00,0.438,1.45,7.487,0.5483,13.65493343
86,SWH,ISCO,SWHSWT34,8/20/24 19:00,0.277,1.44,7.963,0.6329,12.58176647
87,SWH,ISCO,SWHSWT35,8/20/24 20:00,0.237,1.24,7.336,0.5566,13.18002156
88,SWH,ISCO,SWHSWT36,8/20/24 21:00,0.45,1.17,6.344,0.4234,14.98346717
89,SWH,ISCO,SWHSWT37,8/20/24 22:00,0.714,1.89,6.182,0.4639,13.32614788
90,SWH,ISCO,SWHSWT38,8/20/24 23:00,0.873,2.04,6.425,0.4397,14.61223562
91,SWH,ISCO,SWHSWT39,8/21/24,1.007,2.41,6.355,0.4778,13.30054416
92,SWH,ISCO,SWHSWT40,8/21/24 1:00,1.099,2.42,6.469,0.4473,14.46232953
93,SWH,ISCO,SWHSWT41,8/21/24 2:00,1.12,2.39,6.454,0.4796,13.45704754
94,SWH,ISCO,SWHSWT42,8/21/24 3:00,1.001,2.54,6.282,0.4596,13.66840731
95,SWH,ISCO,SWHSWT43,8/21/24 4:00,0.882,2.16,6.438,0.4917,13.0933496
96,SWH,ISCO,SWHSWT44,8/21/24 5:00,0.708,1.95,6.256,0.4717,13.26266695
97,SWH,ISCO,SWHSWT45,8/21/24 6:00,0.534,1.59,7.499,0.5407,13.86905863
98,SWH,ISCO,SWHSWT46,8/21/24 7:00,0.337,1.5,7.664,0.6003,12.76694986
99,SWH,ISCO,SWHSWT47,8/21/24 8:00,0.334,1.25,7.954,0.5897,13.48821435
100,SWH,ISCO,SWHSWT48,8/21/24 9:00,0.331,1,6.277,0.4023,15.60278399
101,GWI,ISCO,GWISWT1,9/23/24 10:00,0.87,19.28,3.468,0.4647,7.462879277
102,GWI,ISCO,GWISWT1P,9/23/24 10:00,0.87,19.28,3.326,0.4121,8.070856588
103,GWI,ISCO,GWISWT2,9/23/24 11:00,1.056,19.27,3.243,0.357,9.084033613
104,GWI,ISCO,GWISWT2P,9/23/24 11:00,1.056,19.27,3.202,0.3736,8.570663812
105,GWI,ISCO,GWISWT3,9/23/24 12:00,1.193,19.26,3.317,0.3356,9.883790226
106,GWI,ISCO,GWISWT4,9/23/24 13:00,1.239,19.25,3.281,0.394,8.327411168
107,GWI,ISCO,GWISWT5,9/23/24 14:00,1.177,19.27,3.325,0.419,7.935560859
108,GWI,ISCO,GWISWT6,9/23/24 15:00,1.063,19.28,3.436,0.3756,9.148029819
109,GWI,ISCO,GWISWT7,9/23/24 16:00,0.93,19.33,3.926,0.4261,9.213799578
110,GWI,ISCO,GWISWT8,9/23/24 17:00,0.759,19.42,4.736,0.4491,10.54553552
111,GWI,ISCO,GWISWT9,9/23/24 18:00,0.65,19.49,5.82,0.5257,11.07095302
112,GWI,ISCO,GWISWT10,9/23/24 19:00,0.565,19.5,6.68,0.5915,11.29332206
113,GWI,ISCO,GWISWT11,9/23/24 20:00,0.564,19.52,7.668,0.6419,11.94578595
114,GWI,ISCO,GWISWT12,9/23/24 21:00,0.612,19.52,6.915,0.6169,11.20927217
115,GWI,ISCO,GWISWT13,9/23/24 22:00,0.679,19.42,4.309,0.5263,8.18734562
116,GWI,ISCO,GWISWT14,9/23/24 23:00,0.797,19.31,3.62,0.5148,7.031857032
117,GWI,ISCO,GWISWT15,9/24/24,0.934,19.3,3.764,0.5699,6.604667486
118,GWI,ISCO,GWISWT16,9/24/24 1:00,1.038,19.3,3.5,0.5153,6.792159907
119,GWI,ISCO,GWISWT17,9/24/24 2:00,1.027,19.29,3.429,0.5041,6.802221781
120,GWI,ISCO,GWISWT18,9/24/24 3:00,0.952,19.34,3.847,0.548,7.020072993
121,GWI,ISCO,GWISWT19,9/24/24 4:00,0.826,19.38,4.424,0.588,7.523809524
122,GWI,ISCO,GWISWT20,9/24/24 5:00,0.708,19.47,5.629,0.6185,9.10105093
123,GWI,ISCO,GWISWT21,9/24/24 6:00,0.608,19.57,6.245,0.6254,9.98560921
124,GWI,ISCO,GWISWT22,9/24/24 7:00,0.546,19.59,7.074,0.6362,11.11914492
125,GWI,ISCO,GWISWT23,9/24/24 8:00,0.525,19.65,7.559,0.6805,11.10800882
126,GWI,ISCO,GWISWT24,9/24/24 9:00,0.565,19.61,7.442,0.7139,10.42442919
127,GWI,ISCO,GWISWT25,9/24/24 10:00,0.81,19.37,4.399,0.5819,7.559718165
128,GWI,ISCO,GWISWT26,9/24/24 11:00,1.055,19.29,3.802,0.522,7.283524904
129,GWI,ISCO,GWISWT27,9/24/24 12:00,1.012,19.28,3.845,0.5367,7.164151295
130,GWI,ISCO,GWISWT28,9/24/24 13:00,1.114,19.28,4.411,0.5803,7.601240738
131,GWI,ISCO,GWISWT29,9/24/24 14:00,1.146,19.28,3.134,0.475,6.597894737
132,GWI,ISCO,GWISWT30,9/24/24 15:00,1.101,19.31,3.407,0.4379,7.78031514
133,GWI,ISCO,GWISWT31,9/24/24 16:00,1.006,19.32,3.569,0.4478,7.970075927
134,GWI,ISCO,GWISWT32,9/24/24 17:00,0.89,19.36,3.895,0.4395,8.862343572
135,GWI,ISCO,GWISWT33,9/24/24 18:00,0.775,19.42,4.395,0.4908,8.954767726
136,GWI,ISCO,GWISWT34,9/24/24 19:00,0.665,19.49,5.266,0.5505,9.565849228
137,GWI,ISCO,GWISWT35,9/24/24 20:00,0.588,19.54,5.818,0.6129,9.492576277
138,GWI,ISCO,GWISWT36,9/24/24 21:00,0.564,19.56,6.557,0.6565,9.987814166
139,GWI,ISCO,GWISWT37,9/24/24 22:00,0.591,19.57,6.453,0.6558,9.83989021
140,GWI,ISCO,GWISWT38,9/24/24 23:00,0.68,19.4,3.638,0.5196,7.001539646
141,GWI,ISCO,GWISWT39,9/25/24,0.807,19.33,3.442,0.5547,6.20515594
142,GWI,ISCO,GWISWT40,9/25/24 1:00,0.948,19.24,3.485,0.588,5.926870748
143,GWI,ISCO,GWISWT41,9/25/24 2:00,0.98,19.09,3.315,0.5588,5.932355047
144,GWI,ISCO,GWISWT42,9/25/24 3:00,0.971,19.07,3.492,0.6022,5.798737961
145,GWI,ISCO,GWISWT43,9/25/24 4:00,0.896,18.97,3.871,0.5621,6.886674969
146,GWI,ISCO,GWISWT44,9/25/24 5:00,0.793,18.74,4.085,0.5619,7.269976864
147,GWI,ISCO,GWISWT45,9/25/24 6:00,0.687,18.48,5.057,0.5705,8.864154251
148,GWI,ISCO,GWISWT46,9/25/24 7:00,0.577,18.44,6.448,0.6827,9.444851326
149,GWI,ISCO,GWISWT47,9/25/24 8:00,0.5,18.53,7.408,0.7503,9.87338398
150,GWI,ISCO,GWISWT48,9/25/24 9:00,0.49,18.27,8.478,0.7665,11.06066536
151,GCW,EM,GCWES1,7/15/24 16:25,NA,NA,4.579,0.421,10.87648456
152,GCW,EM,GCWES2,7/15/24 16:25,NA,NA,4.593,0.3888,11.8132716
153,GCW,EM,GCWES3,7/15/24 16:25,NA,NA,4.827,0.3908,12.35158649
154,GCW,EM,GCWTR1,7/15/24 14:00,NA,NA,18.47,3.22,5.736024845
155,GCW,EM,GCWTR2,7/17/24 11:30,NA,NA,12.19,3.795,3.212121212
156,GCW,EM,GCWUP1,7/15/24 13:30,NA,NA,0.9947,0.1139,8.73309921
157,GCW,EM,GCWUP2,7/15/24 13:30,NA,NA,1.145,0.1333,8.589647412
158,GCW,EM,GCWUP3,7/15/24 13:30,NA,NA,1.094,0.1366,8.008784773
159,GCW,EM,GCWWC1,7/15/24 15:15,NA,NA,12.85,3.471,3.70210314
160,GCW,EM,GCWWC2,7/15/24 15:15,NA,NA,13.5,3.764,3.586609989
161,GCW,EM,GCWWC3,7/15/24 15:15,NA,NA,9.649,2.595,3.718304432
162,GCW,EM,GCWWE1,7/15/24 16:50,NA,NA,10.63,2.237,4.751899866
163,GCW,EM,GCWWE2,7/15/24 16:50,NA,NA,10.32,2.408,4.285714286
164,GCW,EM,GCWWE3,7/15/24 16:50,NA,NA,13.38,3.66,3.655737705
165,GWI,EM,GWIES1,9/23/24 14:25,NA,NA,3.26,0.3469,9.397520899
166,GWI,EM,GWIES2,9/23/24 14:25,NA,NA,3.138,0.3614,8.682899834
167,GWI,EM,GWIES3,9/23/24 14:25,NA,NA,3.196,0.3548,9.00789177
168,GWI,EM,GWITR1,9/23/24 12:40,NA,NA,13.08,0.6483,20.17584452
169,GWI,EM,GWITR2,9/23/24 12:40,NA,NA,13.79,0.6727,20.49947971
170,GWI,EM,GWITR3,9/23/24 12:40,NA,NA,11.78,0.5665,20.79435128
171,GWI,EM,GWIUP1,9/23/24 13:05,NA,NA,27.98,1.184,23.63175676
172,GWI,EM,GWIWC1,9/23/24 12:30,NA,NA,9.099,0.7892,11.52939686
173,GWI,EM,GWIWC2,9/23/24 12:30,NA,NA,14.69,1.57,9.356687898
174,GWI,EM,GWIWC3,9/23/24 12:30,NA,NA,13.92,1.302,10.69124424
175,GWI,EM,GWIWE1,9/23/24 11:00,NA,NA,11.01,4.981,2.210399518
176,GWI,EM,GWIWE2,9/23/24 11:00,NA,NA,10.29,5.184,1.984953704
177,GWI,EM,GWIWE3,9/23/24 11:00,NA,NA,10.72,5.181,2.06909863
178,SWH,EM,SWHES1,8/19/24 11:00,NA,NA,6.17,0.5057,12.20090963
179,SWH,EM,SWHES2,8/19/24 11:00,NA,NA,6.103,0.5124,11.91061671
180,SWH,EM,SWHES3,8/19/24 11:00,NA,NA,6.066,0.5139,11.80385289
181,SWH,EM,SWHSWAMP1,8/19/24 12:30,NA,NA,15.79,1.23,12.83739837
182,SWH,EM,SWHSWAMP2,8/19/24 12:30,NA,NA,14.83,1.187,12.49368155
183,SWH,EM,SWHSWAMP3,8/19/24 12:30,NA,NA,14.54,1.188,12.23905724
184,SWH,EM,SWHTR1,8/19/24 12:56,NA,NA,18.62,3.985,4.672521957
185,SWH,EM,SWHTR2,8/19/24 13:05,NA,NA,18.49,4.17,4.434052758
186,SWH,EM,SWHTR3,8/19/24 13:15,NA,NA,18.03,4.233,4.259390503
187,SWH,EM,SWHUP1,8/19/24 12:02,NA,NA,35.13,2.485,14.13682093
188,SWH,EM,SWHWC1,8/20/24 11:00,NA,NA,8.536,0.6183,13.80559599
189,SWH,EM,SWHWC2,8/20/24 11:05,NA,NA,9.339,0.609,15.33497537
190,SWH,EM,SWHWC3,8/21/24 8:00,NA,NA,9.638,0.5523,17.45066087
191,SWH,EM,SWHWE1,8/20/24 10:30,NA,NA,16.16,0.7801,20.71529291
192,SWH,EM,SWHWE2,8/20/24 11:05,NA,NA,15.88,0.7404,21.44786602
193,SWH,EM,SWHWE3,8/20/24 11:10,NA,NA,15.78,0.7304,21.60460022
