,site,group,sample,col_datetime_EST,water_depth_m,salinity_ppt,doc_mg_l,tdn_mg_l,doc_tdn
1,GCW,ISCO,GCWSWT1P,7/15/24 10:00,0.985,7.75,6.759,0.5011,13.48832568
2,GCW,ISCO,GCWSWT1,7/15/24 10:00,0.985,7.75,6.946,0.4869,14.26576299
3,GCW,ISCO,GCWSWT2,7/15/24 11:00,0.955,7.73,7.336,0.5198,14.11312043
4,GCW,ISCO,GCWSWT2P,7/15/24 11:00,0.955,7.73,7.255,0.521,13.92514395
5,GCW,ISCO,GCWSWT3,7/15/24 12:00,0.955,7.71,7.934,0.5871,13.51388179
6,GCW,ISCO,GCWSWT4,7/15/24 13:00,0.895,7.67,8.823,0.6848,12.88405374
7,GCW,ISCO,GCWSWT5,7/15/24 14:00,0.824,7.73,9.654,0.7398,13.04947283
8,GCW,ISCO,GCWSWT6,7/15/24 15:00,0.766,7.78,9.614,0.7791,12.33987935
9,GCW,ISCO,GCWSWT7,7/15/24 16:00,0.727,7.82,9.943,0.8302,11.97663214
10,GCW,ISCO,GCWSWT8,7/15/24 17:00,0.66,7.84,10.53,0.9113,11.55492154
11,GCW,ISCO,GCWSWT9,7/15/24 18:00,0.648,7.86,10.9,1.043,10.4506232
12,GCW,ISCO,GCWSWT10,7/15/24 19:00,0.68,7.86,11.11,1.039,10.69297401
13,GCW,ISCO,GCWSWT11,7/15/24 20:00,0.82,7.85,8.985,0.6407,14.02372405
14,GCW,ISCO,GCWSWT12,7/15/24 21:00,0.874,7.84,8.546,0.609,14.03284072
15,GCW,ISCO,GCWSWT13,7/15/24 22:00,0.992,7.88,6.252,0.4827,12.95214419
16,GCW,ISCO,GCWSWT14,7/15/24 23:00,1.028,7.88,5.966,0.4473,13.33780461
17,GCW,ISCO,GCWSWT15,7/16/24,1.105,7.89,5.991,0.4353,13.76292212
18,GCW,ISCO,GCWSWT16,7/16/24 1:00,1.097,7.9,5.789,0.4182,13.84265901
19,GCW,ISCO,GCWSWT17,7/16/24 2:00,1.078,7.92,5.898,0.4197,14.05289492
20,GCW,ISCO,GCWSWT18,7/16/24 3:00,1.037,7.97,6.179,0.4836,12.7770885
21,GCW,ISCO,GCWSWT19,7/16/24 4:00,0.987,8,6.621,0.4869,13.5982748
22,GCW,ISCO,GCWSWT20,7/16/24 5:00,0.941,8.06,7.318,0.5691,12.85890002
23,GCW,ISCO,GCWSWT21,7/16/24 6:00,0.919,8.09,7.61,0.5855,12.99743809
24,GCW,ISCO,GCWSWT22,7/16/24 7:00,0.924,8.1,7.869,0.6203,12.68579719
25,GCW,ISCO,GCWSWT23,7/16/24 8:00,0.921,8.11,7.312,0.5671,12.89366955
26,GCW,ISCO,GCWSWT24,7/16/24 9:00,0.959,8.08,6.425,0.4797,13.39378778
27,GCW,ISCO,GCWSWT25,7/16/24 10:00,0.981,8.04,NA,NA,NA
28,GCW,ISCO,GCWSWT26,7/16/24 11:00,1.01,7.98,6.195,0.4404,14.06675749
29,GCW,ISCO,GCWSWT27,7/16/24 12:00,0.983,8.01,6.217,0.4593,13.53581537
30,GCW,ISCO,GCWSWT28,7/16/24 13:00,0.977,8.03,6.998,0.5015,13.95413759
31,GCW,ISCO,GCWSWT29,7/16/24 14:00,0.901,8.12,8.011,0.6012,13.32501663
32,GCW,ISCO,GCWSWT30,7/16/24 15:00,0.848,8.18,8.503,0.6791,12.52098365
33,GCW,ISCO,GCWSWT31,7/16/24 16:00,0.805,8.23,9.081,0.7348,12.35846489
34,GCW,ISCO,GCWSWT32,7/16/24 17:00,0.734,8.23,9.328,0.7982,11.68629416
35,GCW,ISCO,GCWSWT33,7/16/24 18:00,0.699,8.23,9.502,0.8179,11.61755716
36,GCW,ISCO,GCWSWT34,7/16/24 19:00,0.71,8.23,10.1,0.9811,10.29456732
37,GCW,ISCO,GCWSWT35,7/16/24 20:00,0.804,8.23,8.976,0.6675,13.44719101
38,GCW,ISCO,GCWSWT36,7/16/24 21:00,0.886,8.22,7.325,0.6176,11.86042746
39,GCW,ISCO,GCWSWT37,7/16/24 22:00,0.96,8.07,6.062,0.4689,12.92812967
40,GCW,ISCO,GCWSWT38,7/16/24 23:00,1.094,8.02,5.897,0.4429,13.31451795
41,GCW,ISCO,GCWSWT39,7/17/24,1.081,8.02,5.774,0.4429,13.03680289
42,GCW,ISCO,GCWSWT40,7/17/24 1:00,1.151,8.02,5.674,0.4509,12.58372145
43,GCW,ISCO,GCWSWT41,7/17/24 2:00,1.145,8.03,5.499,0.4275,12.86315789
44,GCW,ISCO,GCWSWT42,7/17/24 3:00,1.067,8.08,5.956,0.4591,12.97320845
